type;en;bg
plants_habitat;Deciduous forest;Широколистна гора
plants_habitat;Coniferous forest;Иглолистна гора
plants_habitat;Mixed forest;Смесена гора
plants_habitat;Deciduous bushes;Листопаден храсталак
plants_habitat;Evergreen bushes;Вечнозелен храсталак
plants_habitat;Mixed bushes;Смесен храсталак
plants_habitat;Shrub-pasture complex;Комплекс храсталак-пасище
plants_habitat;Meadow;Ливада
plants_habitat;Pasture;Пасище
plants_habitat;Vertical rock – silicate;Отвесна скала – силикат
plants_habitat;Vertical rock – carbonate;Отвесна скала – карбонат
plants_habitat;Single rock – silicate;Отделна скала – силикат
plants_habitat;Single rock – carbonate;Отделна скала – карбонат
plants_habitat;Scree – silicate;Сипеи - силикат
plants_habitat;Scree – carbonate;Сипеи - карбонат
plants_habitat;Seaside sands;Крайморски пясъци
plants_habitat;Riverside sands;Крайречни пясъци
plants_habitat;Fen;Мочурище
plants_habitat;Quagmire;Тресавище
plants_habitat;Peatland;Торфище
plants_habitat;Swamp;Блато
plants_habitat;Lake;Езеро
plants_habitat;River;Река
plants_habitat;Coastal area of a lake;Крайбрежен участък на езеро
plants_habitat;Coastal area of a river;Крайбрежен участък на река
plants_reporting_unit;Tree;Дърво
plants_reporting_unit;Bush;Храст
plants_reporting_unit;Small bush;Храстче
plants_reporting_unit;Separate herbaceous plant;Отделно тревисто растение
plants_reporting_unit;Tussock;Туфа
plants_reporting_unit;Flower-bearing stalk;Цветоносен стрък
plants_reporting_unit;Spore-bearing leaf / stalk;Спороносен лист / стрък
plants_reporting_unit;Vegetative leafy rosettes;Вегетативни листни розетки
plants_reporting_unit;Vegetative shoot;Вегетативен летораст
plants_reporting_unit;Generative shoot;Генеративен летораст
plants_reporting_unit;Young tip branches-turion;Млади връхни разклонения-турион
plants_reporting_unit;Group;Група
plants_phenological_phase;Appearance of buds;Поява на пъпки / поници
plants_phenological_phase;Start of vegetation - swelling / bursting of the buds;Начало на вегетация – набъбване / разпукване на пъпките
plants_phenological_phase;Complete opening of buds;Пълно разтваряне на пъпките
plants_phenological_phase;Development of leaves;Развитие на листа
plants_phenological_phase;Appearance of inflorescences / sporangia;Появяване на съцветия / спорангии
plants_phenological_phase;Budding / spore formation;Бутонизация / спорообразуване
plants_phenological_phase;Beginning of flowering / spore formation;Начало на цъфтежа / спорообразуване
plants_phenological_phase;Complete flowering / spore bearing;Пълен цъфтеж / спороносене
plants_phenological_phase;End of flowering / spore bearing;Край на цъфтежа / спороносене
plants_phenological_phase;Mature fruits / sporangia;Зрели плодове / спорангии
plants_phenological_phase;End of vegetation / dying off;Край на вегетация / отмиране
plants_threats;Fires;Пожари
plants_threats;Logging;Сечи
plants_threats;Construction / development;Строежи
plants_threats;Pollution;Замърсяване
plants_threats;Quarries;Кариери
plants_threats;Plowing of pastures;Разораване на пасища и мери
plants_threats;Poachers;Събирачество/Бракониери
plants_threats;Planting with non-typical species;Залесяване с нетипични видове
plants_threats;Roads;Пътища
plants_threats;Wind park;Ветропарк
plants_threats;Excessive overgrowth of pastures;Прекомерно обрастване на пасища
plants_threats;Others;Други
plants_threats;Solar park;Соларен парк
plants_threats;Invasive species;Инвазивни видове
plants_threats;Removal of shrubs;Премахване на храсти
plants_threats;Small hydroelectric;Мини ВЕЦ
plants_threats;Dried up waterbodies;Пресъхващи водни тела
