type;la;bg;en
invertebrates;Anisus vorticulus;; Lesser ramshorn snail
invertebrates;Apatura metis;;Freyer's Purple Emperor
invertebrates;Astacus astacus;;European crayfish
invertebrates;Austropotamobius torrentium;Поточен рак; Stone crayfish
invertebrates;Carabus hungaricus;;
invertebrates;Carabus variolosus;;
invertebrates;Cerambyx cerdo;Голям дъбов сечко;Great capricorn beetle
invertebrates;Coenagrion ornatum;;Ornate Bluet
invertebrates;Cordulegaster heros;;Balkan Goldenring
invertebrates;Euphydryas aurinia;;Marsh Fritillary
invertebrates;Euphydryas maturna;;Scarce Fritillary
invertebrates;Euplagia quadripunctaria;;Jersey tiger
invertebrates;Helix pomatia;;Roman snail
invertebrates;Lucanus cervus;Еленов рогач;Stag beetle
invertebrates;Lycaena dispar;; Large copper
invertebrates;Maculinea arion;; Large blue
invertebrates;Maculinea nausithous;;Dusky large blue
invertebrates;Morimus asper funereus;Буков сечко;
invertebrates;Ophiogomphus cecilia;;Green Gomphid
invertebrates;Osmoderma barnabita;;Hermit beetle
invertebrates;Parnassius apollo;;Apollo
invertebrates;Parnassius mnemosyne;;Clouded Apollo
invertebrates;Polyommatus eroides;;Eros blue
invertebrates;Proserpinus proserpina;;Willowherb hawkmoth
invertebrates;Rosalia alpina;;
invertebrates;Theodoxus transversalis;;Striped nerite
invertebrates;Unio crassus;;Thick Shelled River Mussel
invertebrates;Vertigo angustior;;Narrow-mouthed Whorl Snail
invertebrates;Vertigo moulinsiana;;Desmoulin's Whorl Snail
invertebrates;Zerynthia polyxena;;Southern Festoon
invertebrates;Coenonympha oedipрus;;
invertebrates;Dioszeghyana schmidtii;;Carpathian quaker
invertebrates;Erannis ankeraria;;
invertebrates;Eriogaster catax;;Eastern eggar
invertebrates;Hyles hippophaes;;Seathorn hawk-moth
invertebrates;Lignyoptera fumidaria;;
invertebrates;Limoniscus violaceus;;
invertebrates;Lindenia tetraphylla;;Bladetail
invertebrates;Lycaena helle;;Violet copper
invertebrates;Nymphalis vaualbum;;Compton tortoiseshell
invertebrates;Paracaloptenus caloptenoides;;
invertebrates;Paracossulus thrips;;
invertebrates;Saga pedo;;
invertebrates;Bolbelasmus unicronis;;
invertebrates;Rhysodes sulcatus;;
invertebrates;Carabus menetriesi pacholei;;
invertebrates;Pilemia tigrina;;
invertebrates;Cucujus cinnaberinus;;
invertebrates;Probaticus subrugosus;;
invertebrates;Pseudophilotes bavius;;Bavius blue
invertebrates;Arytrura musculus;;
invertebrates;Hirudo verbana;;European medicinal leech
invertebrates;Carabus intricatus;;
invertebrates;Propomacrus bimucronatus;;
invertebrates;Ergates faber;;
invertebrates;Prionus coriarius;;
invertebrates;Prionus besicanus;;
invertebrates;Perisomena caecigena;;Autumn Emperor Moth
invertebrates;Dolbina elegans;;Ash hawkmoth
invertebrates;Apatura metis;;Freyer's Purple Emperor
invertebrates;Colias caucasica balcanica;;Balkan clouded yellow
invertebrates;Erebia rhodopensis;;Nicholl's Ringlet
invertebrates;Lethocerus patruelis;;
invertebrates;Periplaneta americana;;
invertebrates;Harmonia axyridis;;Asian ladybeetle
invertebrates;Cacyreus marshalli;; Geranium Bronze
invertebrates;Cameraria ohridella;;Horse Chestnut Leaf-miner
invertebrates;Cydalima perspectalis;;Box tree moth
invertebrates;Metcalfa pruinosa;;Citrus flatid planthopper
invertebrates;Ricania japonica;;
invertebrates;Corythucha arcuata;;
invertebrates;Corythucha ciliata;;
invertebrates;Stephanitis rhododendri;;
invertebrates;Oxycarenus lavaterae;;
invertebrates;Leptoglossus occidentalis;;
invertebrates;Halyomorpha halys;;
invertebrates;Nezara viridula;;
invertebrates;Perillus bioculatus;;
invertebrates;Orconectes limosus;;
invertebrates;Dreissena polymorpha;;
invertebrates;Sinanodonta woodiana;;
invertebrates;Carabus gigas;;
invertebrates;Carabus scabrosus;;
invertebrates;Dytiscus marginalis;;
invertebrates;Cybister lateralimarginalis;;
invertebrates;Hydrous piceus;;
invertebrates;Orictes nasicornis;Бръмбар носорог; European rhinoceros beetle
invertebrates;Calosoma sycophanta;;
invertebrates;Calosoma inquisitor;;
invertebrates;Scolia flavifrons;;
invertebrates;Formica rufa;;
invertebrates;Helix lucorum;;
invertebrates;Astacus leptodactylus;;
invertebrates;Potamon fluviatile ;;
